Game,Round,1st,2nd,3rd,4th
1,1,1,3,4,2
1,2,1,2,3,4
1,3,4,1,2,3
1,4,2,3,1,4
1,5,3,2,4,1
1,6,1,2,4,3
1,7,3,2,1,4
1,8,2,1,3,4
1,9,4,3,1,2
1,10,4,3,1,2
1,11,3,4,1,2
1,12,3,2,1,4
1,13,4,3,2,1
1,14,3,2,1,4
1,15,1,2,4,3
1,16,4,2,3,1
1,17,1,4,3,2
1,18,4,2,3,1
2,1,4,1,2,3
2,2,3,2,4,1
2,3,3,2,1,4
2,4,2,1,3,4
2,5,4,1,2,3
2,6,2,4,1,3
2,7,2,3,1,4
2,8,3,4,1,2
2,9,3,2,1,4
2,10,3,2,1,4
2,11,1,3,2,4
2,12,1,4,3,2
2,13,4,2,3,1
2,14,2,4,3,1
2,15,3,4,1,2
2,16,2,4,1,3
2,17,4,2,3,1
2,18,3,2,4,1
2,19,4,2,3,1
3,1,4,1,3,2
3,2,2,3,4,1
3,3,3,4,1,2
3,4,4,1,3,2
3,5,1,2,3,4
3,6,3,1,2,4
3,7,3,1,2,4
3,8,3,2,1,4
3,9,1,3,2,4
3,10,2,1,3,4
3,11,3,4,1,2
3,12,1,3,4,2
3,13,2,1,3,4
3,14,1,3,2,4
3,15,4,2,3,1
3,16,4,1,3,2
3,17,1,2,3,4
3,18,4,1,3,2
3,19,1,3,2,4
